ride_id,started_at,ended_at,ride_length_minutes,start_station_name,end_station_name,user_type,neighborhood,zip_code
RIDE100000,2023-11-24,2023-11-24 01:53:00,113.0,Station C,Station E,casual,Downtown,60614
RIDE100001,2023-02-27,2023-02-27 01:05:00,65.0,Station E,Station E,member,Wicker Park,60615
RIDE100002,2023-01-13,2023-01-13 01:54:00,114.0,Station A,Station D,casual,Wicker Park,60622
RIDE100003,2023-05-21,2023-05-21 01:08:00,68.0,Station C,Station C,member,Lincoln Park,60615
RIDE100004,2023-05-06,2023-05-06 01:56:00,116.0,Station D,Station C,member,Lincoln Park,60601
RIDE100005,2023-04-25,2023-04-25 00:26:00,26.0,Station A,Station B,member,Hyde Park,60640
RIDE100006,2023-03-13,2023-03-13 00:14:00,14.0,Station D,Station E,casual,Hyde Park,60640
RIDE100007,2023-02-22,2023-02-22 01:41:00,101.0,Station C,Station C,member,Uptown,60601
RIDE100008,2023-12-13,2023-12-13 01:07:00,67.0,Station C,Station B,member,Uptown,60614
RIDE100009,2023-10-07,2023-10-07 00:46:00,46.0,Station D,Station C,member,Wicker Park,60601
RIDE100010,2023-02-14,2023-02-14 00:35:00,35.0,Station C,Station B,member,Uptown,60615
RIDE100011,2023-10-30,2023-10-30 00:47:00,47.0,Station A,Station C,casual,Lincoln Park,60614
RIDE100012,2023-08-05,2023-08-05 00:40:00,40.0,Station B,Station B,member,Hyde Park,60640
RIDE100013,2023-01-17,2023-01-17 00:11:00,11.0,Station B,Station D,member,Downtown,60622
RIDE100014,2023-01-16,2023-01-16 01:09:00,69.0,Station B,Station C,member,Wicker Park,60640
RIDE100015,2023-02-17,2023-02-17 00:33:00,33.0,Station C,Station A,member,Hyde Park,60614
RIDE100016,2023-04-22,2023-04-22 01:15:00,75.0,Station E,Station B,casual,Lincoln Park,60601
RIDE100017,2023-04-30,2023-04-30 01:27:00,87.0,Station A,Station D,member,Hyde Park,60601
RIDE100018,2023-09-16,2023-09-16 00:53:00,53.0,Station A,Station D,casual,Lincoln Park,60601
RIDE100019,2023-11-05,2023-11-05 00:56:00,56.0,Station C,Station C,member,Hyde Park,60640
RIDE100020,2023-01-14,2023-01-14 01:49:00,109.0,Station A,Station A,casual,Lincoln Park,60622
RIDE100021,2023-10-15,2023-10-15 00:35:00,35.0,Station C,Station C,member,Wicker Park,60622
RIDE100022,2023-04-12,2023-04-12 00:15:00,15.0,Station B,Station E,member,Uptown,60615
RIDE100023,2023-11-29,2023-11-29 01:03:00,63.0,Station A,Station E,casual,Hyde Park,60614
RIDE100024,2023-12-26,2023-12-26 01:01:00,61.0,Station E,Station A,member,Hyde Park,60640
RIDE100025,2023-10-07,2023-10-07 01:47:00,107.0,Station C,Station C,casual,Downtown,60640
RIDE100026,2023-08-03,2023-08-03 01:18:00,78.0,Station A,Station D,member,Lincoln Park,60622
RIDE100027,2023-04-23,2023-04-23 01:02:00,62.0,Station D,Station E,casual,Wicker Park,60615
RIDE100028,2023-08-18,2023-08-18 00:16:00,16.0,Station D,Station B,casual,Uptown,60622
RIDE100029,2023-10-29,2023-10-29 01:54:00,114.0,Station E,Station D,member,Lincoln Park,60601
RIDE100030,2023-05-23,2023-05-23 01:08:00,68.0,Station E,Station D,casual,Lincoln Park,60640
RIDE100031,2023-01-04,2023-01-04 01:02:00,62.0,Station D,Station B,casual,Wicker Park,60614
RIDE100032,2023-03-23,2023-03-23 00:45:00,45.0,Station C,Station E,casual,Hyde Park,60615
RIDE100033,2023-12-24,2023-12-24 00:20:00,20.0,Station A,Station B,casual,Hyde Park,60640
RIDE100034,2023-08-05,2023-08-05 01:08:00,68.0,Station D,Station E,member,Downtown,60614
RIDE100035,2023-06-24,2023-06-24 01:40:00,100.0,Station E,Station B,member,Wicker Park,60622
RIDE100036,2023-05-23,2023-05-23 01:28:00,88.0,Station A,Station D,casual,Hyde Park,60614
RIDE100037,2023-03-21,2023-03-21 00:07:00,7.0,Station C,Station E,casual,Downtown,60601
RIDE100038,2023-04-21,2023-04-21 00:18:00,18.0,Station D,Station B,casual,Downtown,60601
RIDE100039,2023-06-22,2023-06-22 00:56:00,56.0,Station E,Station E,member,Uptown,60615
RIDE100040,2023-02-22,2023-02-22 00:57:00,57.0,Station D,Station C,member,Downtown,60615
RIDE100041,2023-02-17,2023-02-17 00:09:00,9.0,Station C,Station C,casual,Uptown,60601
RIDE100042,2023-07-14,2023-07-14 01:16:00,76.0,Station E,Station C,member,Hyde Park,60614
RIDE100043,2023-02-19,2023-02-19 01:15:00,75.0,Station A,Station C,casual,Uptown,60640
RIDE100044,2023-07-03,2023-07-03 00:05:00,5.0,Station D,Station A,member,Hyde Park,60622
RIDE100045,2023-06-26,2023-06-26 01:50:00,110.0,Station A,Station A,member,Wicker Park,60615
RIDE100046,2023-11-06,2023-11-06 00:16:00,16.0,Station B,Station D,member,Uptown,60601
RIDE100047,2023-05-16,2023-05-16 01:46:00,106.0,Station C,Station D,member,Wicker Park,60601
RIDE100048,2023-01-23,2023-01-23 01:22:00,82.0,Station D,Station E,member,Lincoln Park,60601
RIDE100049,2023-08-24,2023-08-24 01:24:00,84.0,Station E,Station B,member,Hyde Park,60622
RIDE100050,2023-10-02,2023-10-02 01:26:00,86.0,Station C,Station E,member,Downtown,60601
RIDE100051,2023-03-05,2023-03-05 00:43:00,43.0,Station B,Station D,member,Lincoln Park,60614
RIDE100052,2023-07-13,2023-07-13 01:58:00,118.0,Station E,Station B,member,Downtown,60615
RIDE100053,2023-02-10,2023-02-10 01:10:00,70.0,Station C,Station B,member,Hyde Park,60640
RIDE100054,2023-10-10,2023-10-10 01:16:00,76.0,Station C,Station D,casual,Hyde Park,60640
RIDE100055,2023-05-31,2023-05-31 00:31:00,31.0,Station D,Station A,member,Wicker Park,60614
RIDE100056,2023-11-18,2023-11-18 01:28:00,88.0,Station B,Station B,member,Uptown,60622
RIDE100057,2023-11-13,2023-11-13 01:30:00,90.0,Station D,Station A,casual,Uptown,60622
RIDE100058,2023-07-05,2023-07-05 01:03:00,63.0,Station A,Station D,member,Wicker Park,60622
RIDE100059,2023-10-23,2023-10-23 00:48:00,48.0,Station E,Station C,member,Downtown,60622
RIDE100060,2023-04-09,2023-04-09 00:51:00,51.0,Station B,Station E,member,Downtown,60614
RIDE100061,2023-12-27,2023-12-27 01:50:00,110.0,Station C,Station D,member,Lincoln Park,60622
RIDE100062,2023-02-05,2023-02-05 00:11:00,11.0,Station C,Station A,member,Downtown,60601
RIDE100063,2023-01-24,2023-01-24 01:49:00,109.0,Station A,Station B,casual,Lincoln Park,60622
RIDE100064,2023-12-05,2023-12-05 00:33:00,33.0,Station C,Station A,member,Downtown,60601
RIDE100065,2023-04-27,2023-04-27 01:53:00,113.0,Station E,Station D,casual,Downtown,60601
RIDE100066,2023-05-29,2023-05-29 01:03:00,63.0,Station D,Station A,member,Wicker Park,60615
RIDE100067,2023-02-10,2023-02-10 00:47:00,47.0,Station B,Station B,casual,Downtown,60622
RIDE100068,2023-04-30,2023-04-30 01:16:00,76.0,Station E,Station A,member,Lincoln Park,60601
RIDE100069,2023-02-21,2023-02-21 01:43:00,103.0,Station A,Station B,member,Uptown,60614
RIDE100070,2023-07-14,2023-07-14 01:24:00,84.0,Station E,Station E,member,Uptown,60614
RIDE100071,2023-05-23,2023-05-23 01:21:00,81.0,Station A,Station E,casual,Lincoln Park,60614
RIDE100072,2023-08-21,2023-08-21 01:05:00,65.0,Station E,Station D,casual,Downtown,60601
RIDE100073,2023-11-22,2023-11-22 01:36:00,96.0,Station C,Station D,casual,Downtown,60601
RIDE100074,2023-07-06,2023-07-06 01:29:00,89.0,Station C,Station C,casual,Lincoln Park,60614
RIDE100075,2023-03-25,2023-03-25 00:51:00,51.0,Station A,Station B,casual,Lincoln Park,60614
RIDE100076,2023-07-09,2023-07-09 01:36:00,96.0,Station E,Station D,casual,Lincoln Park,60615
RIDE100077,2023-07-01,2023-07-01 01:02:00,62.0,Station E,Station E,member,Lincoln Park,60640
RIDE100078,2023-04-18,2023-04-18 00:19:00,19.0,Station D,Station B,member,Hyde Park,60615
RIDE100079,2023-12-10,2023-12-10 00:17:00,17.0,Station D,Station C,member,Hyde Park,60640
RIDE100080,2023-05-17,2023-05-17 01:42:00,102.0,Station B,Station A,casual,Wicker Park,60601
RIDE100081,2023-12-26,2023-12-26 01:29:00,89.0,Station C,Station C,casual,Downtown,60622
RIDE100082,2023-12-16,2023-12-16 00:33:00,33.0,Station A,Station C,member,Uptown,60640
RIDE100083,2023-11-28,2023-11-28 00:05:00,5.0,Station C,Station E,member,Wicker Park,60615
RIDE100084,2023-02-06,2023-02-06 00:48:00,48.0,Station E,Station E,casual,Wicker Park,60601
RIDE100085,2023-11-08,2023-11-08 00:50:00,50.0,Station C,Station E,casual,Downtown,60601
RIDE100086,2023-11-22,2023-11-22 01:51:00,111.0,Station D,Station A,casual,Hyde Park,60601
RIDE100087,2023-03-29,2023-03-29 01:26:00,86.0,Station E,Station A,casual,Lincoln Park,60622
RIDE100088,2023-10-01,2023-10-01 01:47:00,107.0,Station C,Station A,member,Hyde Park,60622
RIDE100089,2023-05-06,2023-05-06 00:42:00,42.0,Station B,Station C,casual,Lincoln Park,60615
RIDE100090,2023-03-25,2023-03-25 01:15:00,75.0,Station D,Station D,member,Lincoln Park,60622
RIDE100091,2023-08-25,2023-08-25 01:11:00,71.0,Station D,Station D,casual,Hyde Park,60614
RIDE100092,2023-07-14,2023-07-14 00:52:00,52.0,Station C,Station D,casual,Hyde Park,60615
RIDE100093,2023-05-19,2023-05-19 01:34:00,94.0,Station E,Station D,member,Hyde Park,60601
RIDE100094,2023-11-24,2023-11-24 00:18:00,18.0,Station E,Station C,member,Hyde Park,60615
RIDE100095,2023-12-19,2023-12-19 00:10:00,10.0,Station D,Station D,member,Lincoln Park,60615
RIDE100096,2023-10-13,2023-10-13 01:59:00,119.0,Station E,Station B,casual,Lincoln Park,60622
RIDE100097,2023-04-23,2023-04-23 00:26:00,26.0,Station B,Station B,casual,Uptown,60622
RIDE100098,2023-12-17,2023-12-17 01:08:00,68.0,Station A,Station E,member,Lincoln Park,60614
RIDE100099,2023-06-16,2023-06-16 00:22:00,22.0,Station E,Station E,casual,Wicker Park,60601
RIDE100100,2023-01-29,2023-01-29 01:50:00,110.0,Station B,Station A,member,Lincoln Park,60622
RIDE100101,2023-04-28,2023-04-28 01:36:00,96.0,Station E,Station B,casual,Lincoln Park,60614
RIDE100102,2023-01-17,2023-01-17 01:40:00,100.0,Station D,Station A,member,Hyde Park,60640
RIDE100103,2023-06-11,2023-06-11 01:37:00,97.0,Station B,Station E,casual,Lincoln Park,60640
RIDE100104,2023-07-25,2023-07-25 00:57:00,57.0,Station D,Station E,casual,Wicker Park,60615
RIDE100105,2023-05-18,2023-05-18 00:18:00,18.0,Station C,Station C,member,Hyde Park,60640
RIDE100106,2023-02-03,2023-02-03 00:37:00,37.0,Station E,Station D,casual,Downtown,60622
RIDE100107,2023-04-19,2023-04-19 01:23:00,83.0,Station E,Station D,member,Downtown,60615
RIDE100108,2023-10-18,2023-10-18 00:30:00,30.0,Station D,Station C,casual,Downtown,60601
RIDE100109,2023-06-11,2023-06-11 00:29:00,29.0,Station E,Station D,member,Wicker Park,60614
