ride_id,started_at,ended_at,ride_length_minutes,start_station_name,end_station_name,user_type,neighborhood,zip_code,month,weekday
RID100000,2023-01-01 00:00:00.000000000,2023-01-01 00:43:00.000000000,43,Station B,Station A,casual,Wicker Park,60614,January,Sunday
RID100001,2023-01-01 01:44:51.178235647,2023-01-01 02:40:51.178235647,56,Station C,Station C,casual,Wicker Park,60601,January,Sunday
RID100002,2023-01-01 03:29:42.356471294,2023-01-01 04:02:42.356471294,33,Station D,Station A,casual,Wicker Park,60614,January,Sunday
RID100003,2023-01-01 05:14:33.534706941,2023-01-01 05:33:33.534706941,19,Station C,Station A,member,Wicker Park,60614,January,Sunday
RID100004,2023-01-01 06:59:24.712942588,2023-01-01 07:46:24.712942588,47,Station D,Station D,member,Wicker Park,60615,January,Sunday
RID100005,2023-01-01 08:44:15.891178235,2023-01-01 08:56:15.891178235,12,Station A,Station A,casual,Downtown,60615,January,Sunday
RID100006,2023-01-01 10:29:07.069413882,2023-01-01 10:54:07.069413882,25,Station A,Station A,member,Lincoln Park,60622,January,Sunday
RID100007,2023-01-01 12:13:58.247649529,2023-01-01 12:56:58.247649529,43,Station C,Station B,member,Wicker Park,60615,January,Sunday
RID100008,2023-01-01 13:58:49.425885177,2023-01-01 14:21:49.425885177,23,Station A,Station C,member,Lincoln Park,60615,January,Sunday
RID100009,2023-01-01 15:43:40.604120824,2023-01-01 16:10:40.604120824,27,Station C,Station A,member,Hyde Park,60615,January,Sunday
RID100010,2023-01-01 17:28:31.782356471,2023-01-01 17:43:31.782356471,15,Station D,Station C,member,Hyde Park,60614,January,Sunday
RID100011,2023-01-01 19:13:22.960592118,2023-01-01 19:28:22.960592118,15,Station B,Station A,casual,Wicker Park,60614,January,Sunday
RID100012,2023-01-01 20:58:14.138827765,2023-01-01 21:26:14.138827765,28,Station A,Station D,casual,Hyde Park,60615,January,Sunday
RID100013,2023-01-01 22:43:05.317063412,2023-01-01 23:40:05.317063412,57,Station D,Station B,casual,Lincoln Park,60601,January,Sunday
RID100014,2023-01-02 00:27:56.495299059,2023-01-02 01:07:56.495299059,40,Station B,Station A,casual,Hyde Park,60615,January,Monday
RID100015,2023-01-02 02:12:47.673534706,2023-01-02 02:56:47.673534706,44,Station B,Station C,member,Hyde Park,60601,January,Monday
RID100016,2023-01-02 03:57:38.851770354,2023-01-02 04:25:38.851770354,28,Station B,Station D,member,Lincoln Park,60614,January,Monday
RID100017,2023-01-02 05:42:30.030006001,2023-01-02 05:49:30.030006001,7,Station D,Station C,casual,Hyde Park,60601,January,Monday
RID100018,2023-01-02 07:27:21.208241648,2023-01-02 07:53:21.208241648,26,Station D,Station D,member,Wicker Park,60614,January,Monday
RID100019,2023-01-02 09:12:12.386477295,2023-01-02 10:09:12.386477295,57,Station C,Station B,member,Lincoln Park,60601,January,Monday
RID100020,2023-01-02 10:57:03.564712942,2023-01-02 11:03:03.564712942,6,Station B,Station D,casual,Lincoln Park,60614,January,Monday
RID100021,2023-01-02 12:41:54.742948589,2023-01-02 13:09:54.742948589,28,Station B,Station C,member,Downtown,60614,January,Monday
RID100022,2023-01-02 14:26:45.921184236,2023-01-02 15:14:45.921184236,48,Station B,Station C,casual,Downtown,60615,January,Monday
RID100023,2023-01-02 16:11:37.099419884,2023-01-02 16:45:37.099419884,34,Station C,Station A,casual,Lincoln Park,60622,January,Monday
RID100024,2023-01-02 17:56:28.277655531,2023-01-02 18:38:28.277655531,42,Station B,Station D,member,Lincoln Park,60622,January,Monday
RID100025,2023-01-02 19:41:19.455891178,2023-01-02 19:47:19.455891178,6,Station D,Station C,member,Downtown,60614,January,Monday
RID100026,2023-01-02 21:26:10.634126825,2023-01-02 21:51:10.634126825,25,Station B,Station A,casual,Wicker Park,60615,January,Monday
RID100027,2023-01-02 23:11:01.812362472,2023-01-02 23:48:01.812362472,37,Station A,Station B,casual,Hyde Park,60622,January,Monday
RID100028,2023-01-03 00:55:52.990598119,2023-01-03 01:11:52.990598119,16,Station D,Station C,member,Hyde Park,60622,January,Tuesday
RID100029,2023-01-03 02:40:44.168833766,2023-01-03 03:06:44.168833766,26,Station C,Station A,casual,Hyde Park,60615,January,Tuesday
RID100030,2023-01-03 04:25:35.347069413,2023-01-03 05:13:35.347069413,48,Station B,Station C,casual,Lincoln Park,60615,January,Tuesday
RID100031,2023-01-03 06:10:26.525305061,2023-01-03 06:39:26.525305061,29,Station A,Station D,casual,Wicker Park,60622,January,Tuesday
